	BS-493	BS-494	BS-495	BS-496	BS-497	BS-498	BS-499	BS-500	BS-501	BS-502	BS-503	BS-505	BS-506	BS-507	BS-508	BS-509	BS-510	BS-511	BS-512	BS-513	BS-514	BS-515	BS-517	BS-518	BS-519	BS-520	BS-521	BS-522	BS-523	BS-524	BS-525	BS-526	BS-527	BS-529	BS-530	BS-531	BS-533	BS-534	BS-535	BS-536	BS-537	BS-538	BS-539	BS-540	BS-541	BS-542	BS-543	BS-545	BS-546	BS-547	BS-548	BS-549	BS-550	BS-551	BS-552	BS-553	BS-554	BS-555	BS-557	BS-558	BS-559	BS-560	BS-561	BS-562	BS-563	BS-564	BS-565	BS-566	BS-567	BS-568	BS-569	BS-570	BS-571	BS-572	BS-573	BS-574	BS-575	BS-576	BS-577	BS-578	BS-579	BS-581	BS-582	BS-603	BS-492	BS-504	BS-516	BS-528	BS-532	BS-544	BS-556	BS-580
ASV_1	22	4103	4078	498	3931	3194	189	3711	79	5796	8520	773	7310	115	750	9	3710	3719	866	4831	3071	74	281	4984	9272	1314	780	8125	886	488	27	2017	1498	2081	1180	493	1938	2796	2671	798	749	1894	886	3140	11	3117	2126	1374	3196	1478	1638	1722	1576	1731	1507	589	1102	484	7	2416	2451	387	2067	2278	1194	2924	1068	1893	3374	1667	474	2011	449	1475	8	3045	610	2035	5917	3225	5141	0	0	0	3013	2791	5821	196	1912	1488	1689	1091
ASV_2	24	1123	3766	3895	2004	522	568	508	44	4165	2213	1186	3376	270	399	76	2651	4665	6768	3557	613	113	27	5213	2160	4377	885	8210	3713	299	25	1490	1872	1608	377	353	168	2328	786	1343	1140	3565	3989	988	21	1467	1960	4449	2594	5625	998	272	3990	3674	3611	2395	3944	3243	14	2597	1176	2297	1981	701	1236	1203	125	1558	1493	1878	599	2165	2457	617	6	3779	5001	2223	812	3494	2336	0	0	0	788	3924	1016	4049	788	2821	466	1703
ASV_3	2986	3762	2168	2527	5627	4401	1034	14111	63	6132	1460	1629	2250	528	439	1070	1826	3521	1875	5080	7868	1342	2311	4155	3214	151	602	1713	804	56	1644	511	134	765	246	67	10	1007	330	37	173	517	78	588	1573	489	512	748	1398	1309	751	1251	992	830	218	306	1089	59	1238	1332	1612	1801	3936	2916	1514	4030	1112	2334	4119	170	300	979	65	157	1155	1118	1634	2472	3024	2369	1713	0	0	0	39	31	1066	22	97	54	57	24
ASV_4	1813	2536	616	185	1197	671	73	2024	74	3039	1501	1572	4171	71	511	3861	2038	493	456	1003	521	155	98	2932	1551	823	879	4709	68	720	3226	1149	158	625	204	1147	594	971	419	462	1140	1402	277	2968	2187	768	1214	477	877	379	1843	1199	555	893	231	941	1085	231	1682	1822	724	223	1509	574	2952	1203	1023	579	928	230	442	871	109	1087	1745	270	147	673	3608	919	580	0	0	0	1842	815	1525	231	721	867	1068	278
ASV_5	0	0	0	1	0	0	1444	2	6	8	0	5	7	15	0	6	0	1	279	18	2	103	38	5	9	858	2040	2	204	140	2	2253	824	568	1179	1931	615	860	402	2583	873	517	5989	106	7	4138	1737	4955	4337	2134	3324	1199	3451	2488	6632	3261	560	5491	23	3250	478	1285	284	416	2186	1127	168	1186	61	3670	1448	645	5308	72	66	596	1250	1079	1920	2624	101	0	0	0	0	11	0	108	42	292	3	189
ASV_6	1323	2740	2542	847	1372	826	393	2680	98	1191	1449	3816	4054	155	1231	2002	1380	1937	1209	800	682	67	43	1008	1041	817	877	3727	451	584	850	690	456	258	222	394	115	314	304	486	1380	1207	412	1090	6535	698	1353	548	510	801	1043	1287	431	1309	752	2507	680	384	2529	1238	962	386	846	459	823	1756	511	701	1566	740	938	757	312	806	1091	835	639	333	290	332	353	0	0	0	1421	1915	1366	486	1039	919	461	675
ASV_7	582	2152	847	382	1743	1950	53	647	46	1736	2374	1007	1581	64	988	738	2407	768	245	4556	2826	167	46	1175	1119	513	1339	3590	782	699	347	794	314	861	733	1325	170	503	476	304	1097	802	363	849	1149	482	326	591	1066	2634	1228	849	961	675	471	316	1033	86	1138	840	793	414	1464	1510	2969	943	502	655	1259	550	389	962	228	950	251	650	205	718	645	588	598	0	0	0	2429	811	1268	77	615	331	488	466
ASV_8	1566	482	162	25	2381	99	3	473	13	91	9356	189	765	23	237	2210	504	275	39	2505	357	70	7	83	6620	885	56	1201	46	73	1808	339	118	810	35	133	6	80	3364	440	62	222	76	109	4281	84	37	177	107	9351	204	55	195	240	104	137	91	1064	2335	256	2238	67	398	89	1262	395	107	723	126	2520	94	62	190	349	3000	66	39	840	41	120	4310	0	0	0	342	1981	583	11	219	588	351	505
ASV_9	138	3169	978	3249	993	1795	165	119	39	2190	5128	2948	82	393	515	88	1548	1484	3147	521	3644	19	48	1370	4147	352	1020	67	2503	196	80	542	240	141	166	28	118	491	1217	218	1320	23	641	84	1175	365	504	254	656	212	58	1838	418	504	458	1997	69	1038	277	522	1053	1289	761	942	110	58	1496	839	574	731	911	16	510	390	67	730	1947	371	1108	925	1382	0	0	0	975	1328	70	711	41	553	145	267
ASV_10	214	1474	29	2607	90	220	254	1138	56	2075	528	9637	901	922	262	311	857	50	4150	95	221	85	12	1275	423	954	1806	879	4068	316	180	381	7	51	85	125	18	470	188	422	2669	368	1637	1073	674	826	147	599	485	23	665	355	302	384	286	1190	831	1760	221	770	75	2276	753	231	388	839	623	845	786	1933	1773	942	1655	422	121	7	1892	96	14	825	252	0	0	0	1108	2139	884	1184	658	162	255	998
ASV_11	31	403	694	168	57	28	20	124	24	44	760	96	118	10	1449	9	2418	1696	964	166	8	14	9	19	888	1742	103	154	299	3381	10	2638	738	196	7	12	60	11	589	815	697	145	660	4415	21	2562	1621	313	216	10	522	3063	3519	1757	2101	2467	1032	1606	15	2547	1185	1045	872	25	14	1022	1588	903	2334	835	220	187	280	3614	1	870	893	170	409	131	347	0	0	0	2131	888	837	1013	1493	799	1096	688
ASV_12	3660	3041	976	820	1199	157	240	5881	54	1028	507	3	475	27	8261	883	1201	1302	437	1365	126	472	787	443	884	26	17	260	105	425	1772	318	89	202	6	49	13	249	92	1	5	131	10	1929	388	253	649	250	26	377	432	2475	219	312	6	0	166	14	1057	891	958	405	1796	83	878	1380	3056	1600	745	24	2	279	23	2329	696	454	615	629	2949	491	351	0	0	0	2963	40	1875	64	247	9	1722	42
