	BS-592	BS-593	BS-594	BS-595	BS-596	BS-597	BS-598	BS-599	BS-600	BS-601	BS-602	BS-587	BS-588	BS-589	BS-590	BS-591
ASV_1	5728	17052	28409	2449	748	417	873	154	9235	10780	5532	0	0	0	207	0
ASV_2	4310	6182	8268	7309	4152	3388	9832	15064	5342	5726	2860	0	0	0	0	0
ASV_3	3005	12916	459	13498	2214	2417	960	1883	11547	5963	1506	711	0	288	4787	4747
ASV_4	6982	3221	4673	1692	193	461	1288	377	5090	4554	1919	0	0	24	364	608
ASV_5	1118	4320	375	2509	638	525	0	0	3623	2691	420	608	539	0	2090	1963
ASV_6	0	0	0	0	260	175	3731	9224	70	1793	0	0	0	0	0	70
ASV_7	18	56	293	2356	438	392	10	16	2286	600	106	0	0	0	1130	6039
ASV_8	8214	0	420	3217	151	247	0	324	0	541	529	0	0	0	0	0
ASV_9	2141	631	334	408	1757	2728	1352	311	523	794	856	0	0	369	0	0
ASV_10	1439	2022	201	161	3318	3846	673	3	127	156	0	0	0	0	194	0
ASV_11	2283	168	143	340	1431	1227	1084	378	117	512	569	367	570	1962	208	116
ASV_12	125	424	0	2323	0	359	0	136	1388	126	84	0	0	0	2850	2955
ASV_13	278	1216	0	2682	266	343	7	0	1447	1830	239	112	129	0	871	1208
ASV_14	0	0	0	33	592	176	1661	6801	121	436	45	0	0	0	0	0
ASV_15	0	255	0	1633	0	0	0	0	745	79	0	0	0	0	3982	2832
ASV_16	149	305	0	339	111	0	0	0	348	250	0	7272	22	0	162	123
ASV_17	2257	113	3	14	2260	2786	0	425	58	146	126	0	0	179	186	0
ASV_18	811	1833	703	1093	86	734	545	795	0	727	1075	0	0	0	0	0
ASV_19	337	311	226	1204	474	848	0	0	942	70	0	0	0	0	2183	1542
ASV_20	202	359	0	1078	0	0	0	0	1197	170	0	0	0	0	1053	2967
ASV_21	550	111	5	43	315	1745	689	117	139	387	129	142	1617	889	0	0
ASV_22	364	364	163	2665	413	0	109	47	467	1360	289	0	0	0	0	0
