ID,SampleID,sampleClass,SampleType,HamsterID,Group,dpi,Group_PostInfect,Sample_or_Neg,GroupPost_dpi
BS.492,BS.492,sample,Duodenum,1,Mock,6,Mock,Sample,Mock_6
BS.493,BS.493,sample,Duodenum,2,Mock,6,Mock,Sample,Mock_6
BS.494,BS.494,sample,Duodenum,3,Mock,3,Mock,Sample,Mock_3
BS.495,BS.495,sample,Duodenum,4,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.496,BS.496,sample,Duodenum,5,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.497,BS.497,sample,Duodenum,7,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.498,BS.498,sample,Duodenum,8,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.499,BS.499,sample,Duodenum,9,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.500,BS.500,sample,Duodenum,10,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.501,BS.501,sample,Duodenum,11,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.502,BS.502,sample,Duodenum,12,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.503,BS.503,sample,Duodenum,13,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.504,BS.504,sample,Duodenum,14,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.505,BS.505,sample,Duodenum,15,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.506,BS.506,sample,Duodenum,16,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.507,BS.507,sample,Duodenum,17,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.508,BS.508,sample,Ileum,1,Mock,6,Mock,Sample,Mock_6
BS.509,BS.509,sample,Ileum,2,Mock,6,Mock,Sample,Mock_6
BS.510,BS.510,sample,Ileum,3,Mock,3,Mock,Sample,Mock_3
BS.511,BS.511,sample,Ileum,4,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.512,BS.512,sample,Ileum,5,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.513,BS.513,sample,Ileum,7,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.514,BS.514,sample,Ileum,8,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.515,BS.515,sample,Ileum,9,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.516,BS.516,sample,Ileum,10,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.517,BS.517,sample,Ileum,11,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.518,BS.518,sample,Ileum,12,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.519,BS.519,sample,Ileum,13,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.520,BS.520,sample,Ileum,14,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.521,BS.521,sample,Ileum,15,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.522,BS.522,sample,Ileum,16,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.523,BS.523,sample,Ileum,17,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.524,BS.524,sample,Cecum,1,Mock,6,Mock,Sample,Mock_6
BS.525,BS.525,sample,Cecum,2,Mock,6,Mock,Sample,Mock_6
BS.526,BS.526,sample,Cecum,3,Mock,3,Mock,Sample,Mock_3
BS.527,BS.527,sample,Cecum,4,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.528,BS.528,sample,Cecum,5,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.529,BS.529,sample,Cecum,7,Challenge,6,SARS-CoV-2,Sample,SARS-CoV-2_6
BS.530,BS.530,sample,Cecum,8,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.531,BS.531,sample,Cecum,9,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.532,BS.532,sample,Cecum,10,Challenge,3,SARS-CoV-2,Sample,SARS-CoV-2_3
BS.533,BS.533,sample,Cecum,11,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.534,BS.534,sample,Cecum,12,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.535,BS.535,sample,Cecum,13,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.536,BS.536,sample,Cecum,14,PR8,6,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_6
BS.537,BS.537,sample,Cecum,15,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.538,BS.538,sample,Cecum,16,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.539,BS.539,sample,Cecum,17,PR8,3,IAV-SARS-CoV-2,Sample,IAV-SARS-CoV-2_3
BS.540,BS.540,sample,Feces,1,Mock,-1,Pre-Challenge,Sample,Pre-Challenge
BS.541,BS.541,sample,Feces,2,Mock,-1,Pre-Challenge,Sample,Pre-Challenge
BS.542,BS.542,sample,Feces,3,Mock,-1,Pre-Challenge,Sample,Pre-Challenge
BS.543,BS.543,sample,Feces,4,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
BS.544,BS.544,sample,Feces,5,Challenge,-1,Pre-Challenge,Sample,Pre-Challenge
